"LHS","RHS","support","confidence","coverage","lift","count","Perf_Mea_New"
"{HarvardX_CS50x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00364368730429705,0.165047233468286,0.0220766336261988,3.90346243421623,1223,0.00234746622632323
"{MITx_6.00x_UnitedStates_Bachelor's}","{HarvardX_CS50x_UnitedStates_Bachelor's}",0.00364368730429705,0.0861753100338219,0.0422822651043203,3.90346243421623,1223,0.00122567113423444
"{MITx_6.00x_India_Secondary}","{MITx_6.002x_India_Secondary}",0.00362581148759567,0.177456984543599,0.0204320584896722,8.69282828445335,1217,0.00559318802089093
"{MITx_6.002x_India_Secondary}","{MITx_6.00x_India_Secondary}",0.00362581148759567,0.177612375948628,0.0204141826729709,8.69282828445335,1217,0.00559808573369381
"{MITx_6.002x_India_Bachelor's}","{MITx_6.00x_India_Bachelor's}",0.00309251628933797,0.135988471112276,0.0227410181469333,5.84210858061746,1038,0.0024568786788585
"{MITx_6.00x_India_Bachelor's}","{MITx_6.002x_India_Bachelor's}",0.00309251628933797,0.132855497248176,0.0232772926479745,5.84210858061746,1038,0.00240027581668078
"{MITx_6.002x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00281842043325021,0.254849137931034,0.0110591719325843,6.02732936142995,946,0.00432926202202403
"{MITx_6.00x_UnitedStates_Bachelor's}","{MITx_6.002x_UnitedStates_Bachelor's}",0.00281842043325021,0.0666572717023675,0.0422822651043203,6.02732936142995,946,0.00113234361793639
"{MITx_8.02x_India_Secondary}","{MITx_6.002x_India_Secondary}",0.00280054461654884,0.388109000825764,0.00721587134178859,19.011733511116,940,0.0206641682327283
"{MITx_6.002x_India_Secondary}","{MITx_8.02x_India_Secondary}",0.00280054461654884,0.137186223000584,0.0204141826729709,19.011733511116,940,0.00730423459714944
"{HarvardX_CS50x_India_Secondary}","{MITx_6.00x_India_Secondary}",0.00268137250520633,0.293925538863488,0.00912262512326865,14.3855079023025,900,0.0113375619942509
"{MITx_6.00x_India_Secondary}","{HarvardX_CS50x_India_Secondary}",0.00268137250520633,0.131233595800525,0.0204320584896722,14.3855079023025,900,0.00506206107121555
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00258901411891589,0.187284482758621,0.0138239649157304,10.3852386177843,869,0.00503561703816299
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{HarvardX_CB22x_UnitedStates_Bachelor's}",0.00258901411891589,0.143565174293739,0.0180337197489044,10.3852386177843,869,0.00386011284603937
"{MITx_8.02x_India_Bachelor's}","{MITx_6.002x_India_Bachelor's}",0.00249665573262545,0.385641969627243,0.00647402494868151,16.9579904969756,838,0.0163274115920905
"{MITx_6.002x_India_Bachelor's}","{MITx_8.02x_India_Bachelor's}",0.00249665573262545,0.109786453556924,0.0227410181469333,16.9579904969756,838,0.00464816787496564
"{HarvardX_CS50x_India_Bachelor's}","{MITx_6.00x_India_Bachelor's}",0.00201698798447187,0.269184890656064,0.00749294650065992,11.5642697253062,677,0.00627873571317534
"{MITx_6.00x_India_Bachelor's}","{HarvardX_CS50x_India_Bachelor's}",0.00201698798447187,0.0866504543709203,0.0232772926479745,11.5642697253062,677,0.00202112124902547
"{HarvardX_CS50x_UnitedStates_Secondary}","{MITx_6.00x_UnitedStates_Secondary}",0.00200209147055406,0.127756653992395,0.0156711326415392,4.85028765477814,672,0.00124060903671887
"{MITx_6.00x_UnitedStates_Secondary}","{HarvardX_CS50x_UnitedStates_Secondary}",0.00200209147055406,0.0760095011876485,0.0263400159094769,4.85028765477814,672,0.000738106948664321
"{MITx_6.002x_UnitedStates_Secondary}","{MITx_6.00x_UnitedStates_Secondary}",0.00193952611209925,0.281940233867475,0.00687921012724602,10.7038748509653,651,0.00585320465479963
"{MITx_6.00x_UnitedStates_Secondary}","{MITx_6.002x_UnitedStates_Secondary}",0.00193952611209925,0.0736342042755344,0.0263400159094769,10.7038748509653,651,0.00152867883134627
"{HarvardX_PH278x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00170714049498136,0.171198087839857,0.00997172641658399,9.49322104499587,573,0.00277448107805275
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{HarvardX_PH278x_UnitedStates_Bachelor's}",0.00170714049498136,0.0946638030728564,0.0180337197489044,9.49322104499587,573,0.0015341464014939
"{MITx_3.091x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00155817535580323,0.215137803373097,0.00724268506684066,5.08813335431065,523,0.00170565639319514
"{HarvardX_CB22x_UnitedStates_Secondary}","{HarvardX_ER22x_UnitedStates_Secondary}",0.00154029953910186,0.19240788983997,0.00800538657943268,19.106957342277,517,0.00566264839336404
"{HarvardX_ER22x_UnitedStates_Secondary}","{HarvardX_CB22x_UnitedStates_Secondary}",0.00154029953910186,0.152958579881657,0.0100700434084416,19.106957342277,517,0.00450163793874828
"{MITx_3.091x_UnitedStates_Secondary}","{MITx_6.00x_UnitedStates_Secondary}",0.00151646511683336,0.210243700950021,0.00721289203900503,7.98191245109982,509,0.00254485110492968
"{MITx_6.00x_UnitedStates_Secondary}","{MITx_3.091x_UnitedStates_Secondary}",0.00151646511683336,0.057572672774573,0.0263400159094769,7.98191245109982,509,0.000696876430837548
"{HarvardX_CB22x_UnitedStates_Master's}","{HarvardX_ER22x_UnitedStates_Master's}",0.00141516882219223,0.15785975407112,0.00896472207573984,14.5925278419767,475,0.00325994448604031
"{HarvardX_ER22x_UnitedStates_Master's}","{HarvardX_CB22x_UnitedStates_Master's}",0.00141516882219223,0.130817956485817,0.0108178484071158,14.5925278419767,475,0.00270150728683429
"{MITx_8.02x_UnitedStates_Bachelor's}","{MITx_6.002x_UnitedStates_Bachelor's}",0.00139133439992373,0.216203703703704,0.0064352940124952,19.5497190044301,467,0.00588078323767723
"{MITx_6.002x_UnitedStates_Bachelor's}","{MITx_8.02x_UnitedStates_Bachelor's}",0.00139133439992373,0.125808189655172,0.0110591719325843,19.5497190044301,467,0.00342200748744149
"{MITx_14.73x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00134664485817029,0.12024474594307,0.0111991991634118,6.66777279548084,452,0.00107969223772755
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{MITx_14.73x_UnitedStates_Bachelor's}",0.00134664485817029,0.0746737155129688,0.0180337197489044,6.66777279548084,452,0.000670504398086547
"{MITx_8.02x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.0013138725275511,0.204166666666667,0.0064352940124952,4.82865963218715,441,0.00129528299394025
"{MITx_8.02x_India_Secondary}","{MITx_6.00x_India_Secondary}",0.0013138725275511,0.182080924855491,0.00721587134178859,8.91153110918939,441,0.00213191561235607
"{MITx_6.00x_India_Secondary}","{MITx_8.02x_India_Secondary}",0.0013138725275511,0.0643044619422572,0.0204320584896722,8.91153110918939,441,0.000752916245716885
"{HarvardX_CS50x_India_Secondary}","{MITx_6.002x_India_Secondary}",0.0012900381052826,0.141410842586545,0.00912262512326865,6.9270881353373,433,0.00126367665377245
"{MITx_6.002x_India_Secondary}","{HarvardX_CS50x_India_Secondary}",0.0012900381052826,0.0631932282545242,0.0204141826729709,6.9270881353373,433,0.000564707809960776
"{HarvardX_PH207x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00128407949971548,0.106131494705738,0.0120989486040477,2.51007117153932,431,0.000342075703678994
"{HarvardX_CS50x_UnitedStates_Master's}","{MITx_6.00x_UnitedStates_Master's}",0.0012185348384771,0.16985049833887,0.00717416110281872,11.4294606890424,409,0.0023655411869404
"{MITx_6.00x_UnitedStates_Master's}","{HarvardX_CS50x_UnitedStates_Master's}",0.0012185348384771,0.0819967923015237,0.0148607622844102,11.4294606890424,409,0.00114198540059192
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{HarvardX_CS50x_UnitedStates_Bachelor's}",0.00112617645218666,0.0624483727077482,0.0180337197489044,2.8287090217251,378,0.000198937127928978
"{HarvardX_CS50x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00112617645218666,0.0510121457489879,0.0220766336261988,2.8287090217251,378,0.000162505591815668
"{HarvardX_PH278x_UnitedStates_Bachelor's}","{HarvardX_CB22x_UnitedStates_Bachelor's}",0.00112021784661953,0.112339408425456,0.00997172641658399,8.1264245902146,376,0.00102266673484987
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{HarvardX_PH278x_UnitedStates_Bachelor's}",0.00112021784661953,0.0810344827586207,0.0138239649157304,8.1264245902146,376,0.000737686543435884
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{HarvardX_CS50x_UnitedStates_Bachelor's}",0.00106361109373184,0.0769396551724138,0.0138239649157304,3.48511718204663,357,0.00028520062916111
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00102488015754553,0.0741379310344828,0.0138239649157304,1.75340490514326,344,0.000133228078453873
"{MITx_3.091x_UnitedStates_Bachelor's}","{MITx_6.002x_UnitedStates_Bachelor's}",0.00102190085476197,0.141094199917729,0.00724268506684066,12.7581161390587,343,0.00183951983429297
"{MITx_6.002x_UnitedStates_Bachelor's}","{MITx_3.091x_UnitedStates_Bachelor's}",0.00102190085476197,0.0924030172413793,0.0110591719325843,12.7581161390587,343,0.00120470708975383
